,name,genre,type,anime_name,anime_size,popularity,combined,id
34,natsumeyuujinchoushi,"['drama', ' fantasy', ' shoujo', ' slice of life', ' supernatural']",TV,Natsume Yuujinchou Shi,small,high, natsumeyuujinchoushi drama  fantasy  shoujo  slice of life  supernatural TV small high ,34
35,howlnougokushiro,"['adventure', ' drama', ' fantasy', ' romance']",Movie,Howl no Ugoku Shiro,tiny,veryhigh, howlnougokushiro adventure  drama  fantasy  romance Movie tiny veryhigh ,35
36,fatezero2ndseason,"['action', ' fantasy', ' supernatural', ' thriller']",TV,Fate/Zero 2nd Season,small,veryhigh, fatezero2ndseason action  fantasy  supernatural  thriller TV small veryhigh ,36
37,kizumonogatariiinekketsuhen,"['action', ' mystery', ' supernatural', ' vampire']",Movie,Kizumonogatari II: Nekketsu-hen,tiny,high, kizumonogatariiinekketsuhen action  mystery  supernatural  vampire Movie tiny high ,37
38,monster,"['drama', ' horror', ' mystery', ' police', ' psychological', ' seinen', ' thriller']",TV,Monster,medium,veryhigh, monster drama  horror  mystery  police  psychological  seinen  thriller TV medium veryhigh ,38
39,bakuman3rdseason,"['comedy', ' drama', ' romance', ' shounen']",TV,Bakuman  3rd Season,small,veryhigh, bakuman3rdseason comedy  drama  romance  shounen TV small veryhigh ,39
40,deathnote,"['mystery', ' police', ' psychological', ' supernatural', ' thriller']",TV,Death Note,small,veryhigh, deathnote mystery  police  psychological  supernatural  thriller TV small veryhigh ,40
41,gintamaaizomekaorihen,"['comedy', ' parody']",OVA,Gintama : Aizome Kaori-hen,small,high, gintamaaizomekaorihen comedy  parody OVA small high ,41
42,ansatsukyoushitsutv2ndseason,"['action', ' comedy', ' school', ' shounen']",TV,Ansatsu Kyoushitsu (TV) 2nd Season,small,veryhigh, ansatsukyoushitsutv2ndseason action  comedy  school  shounen TV small veryhigh ,42
43,haikyuu,"['comedy', ' drama', ' school', ' shounen', ' sports']",TV,Haikyuu  ,small,veryhigh, haikyuu comedy  drama  school  shounen  sports TV small veryhigh ,43
44,hajimenoipporising,"['comedy', ' drama', ' shounen', ' sports']",TV,Hajime no Ippo: Rising,small,high, hajimenoipporising comedy  drama  shounen  sports TV small high ,44
45,karanokyoukai5mujunrasen,"['action', ' drama', ' mystery', ' romance', ' supernatural', ' thriller']",Movie,Kara no Kyoukai 5: Mujun Rasen,tiny,veryhigh, karanokyoukai5mujunrasen action  drama  mystery  romance  supernatural  thriller Movie tiny veryhigh ,45
46,natsumeyuujinchousan,"['drama', ' fantasy', ' shoujo', ' slice of life', ' supernatural']",TV,Natsume Yuujinchou San,small,veryhigh, natsumeyuujinchousan drama  fantasy  shoujo  slice of life  supernatural TV small veryhigh ,46
47,pingpongtheanimation,"['psychological', ' seinen', ' sports']",TV,Ping Pong The Animation,small,high, pingpongtheanimation psychological  seinen  sports TV small high ,47
48,mushishispecialhihamukage,"['adventure', ' fantasy', ' historical', ' mystery', ' seinen', ' slice of life', ' supernatural']",Special,Mushishi Special: Hihamukage,tiny,high, mushishispecialhihamukage adventure  fantasy  historical  mystery  seinen  slice of life  supernatural Special tiny high ,48
49,bokudakegainaimachi,"['mystery', ' psychological', ' seinen', ' supernatural']",TV,Boku dake ga Inai Machi,small,veryhigh, bokudakegainaimachi mystery  psychological  seinen  supernatural TV small veryhigh ,49
50,yojouhanshinwataikei,"['mystery', ' psychological', ' romance']",TV,Yojouhan Shinwa Taikei,small,veryhigh, yojouhanshinwataikei mystery  psychological  romance TV small veryhigh ,50
51,ariatheorigination,"['fantasy', ' sci-fi', ' shounen', ' slice of life']",TV,Aria The Origination,small,high, ariatheorigination fantasy  sci-fi  shounen  slice of life TV small high ,51
52,kamisamahajimemashitakakohen,"['comedy', ' demons', ' fantasy', ' shoujo', ' supernatural']",OVA,Kamisama Hajimemashita: Kako-hen,small,high, kamisamahajimemashitakakohen comedy  demons  fantasy  shoujo  supernatural OVA small high ,52
53,rainbownisharokubounoshichinin,"['drama', ' historical', ' seinen', ' thriller']",TV,Rainbow: Nisha Rokubou no Shichinin,small,veryhigh, rainbownisharokubounoshichinin drama  historical  seinen  thriller TV small veryhigh ,53
54,rezerokarahajimeruisekaiseikatsu,"['drama', ' fantasy', ' psychological', ' thriller']",TV,Re:Zero kara Hajimeru Isekai Seikatsu,small,veryhigh, rezerokarahajimeruisekaiseikatsu drama  fantasy  psychological  thriller TV small veryhigh ,54
55,tengentoppagurrenlagannmovielagannhen,"['action', ' mecha', ' sci-fi', ' space', ' super power']",Movie,Tengen Toppa Gurren Lagann Movie: Lagann-hen,tiny,high, tengentoppagurrenlagannmovielagannhen action  mecha  sci-fi  space  super power Movie tiny high ,55
56,zokunatsumeyuujinchou,"['drama', ' fantasy', ' shoujo', ' slice of life', ' supernatural']",TV,Zoku Natsume Yuujinchou,small,veryhigh, zokunatsumeyuujinchou drama  fantasy  shoujo  slice of life  supernatural TV small veryhigh ,56
57,anohimitahananonamaewobokutachiwamadashiranai,"['drama', ' slice of life', ' supernatural']",TV,Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai ,small,veryhigh, anohimitahananonamaewobokutachiwamadashiranai drama  slice of life  supernatural TV small veryhigh ,57
58,kurokonobasket3rdseason,"['comedy', ' school', ' shounen', ' sports']",TV,Kuroko no Basket 3rd Season,small,veryhigh, kurokonobasket3rdseason comedy  school  shounen  sports TV small veryhigh ,58
59,steinsgatemoviefukaryouikinodjvu,"['sci-fi', ' thriller']",Movie,Steins Gate Movie: Fuka Ryouiki no Déjà vu,tiny,veryhigh, steinsgatemoviefukaryouikinodjvu sci-fi  thriller Movie tiny veryhigh ,59
60,hotarubinomorie,"['drama', ' romance', ' shoujo', ' supernatural']",Movie,Hotarubi no Mori e,tiny,veryhigh, hotarubinomorie drama  romance  shoujo  supernatural Movie tiny veryhigh ,60
61,shokugekinosouma,"['ecchi', ' school', ' shounen']",TV,Shokugeki no Souma,small,veryhigh, shokugekinosouma ecchi  school  shounen TV small veryhigh ,61
62,yurionice,"['comedy', ' sports']",TV,Yuri    on Ice,small,veryhigh, yurionice comedy  sports TV small veryhigh ,62
63,gintamayorinukigintamasanontheater2d,"['action', ' comedy', ' historical', ' parody', ' samurai', ' sci-fi', ' shounen']",Movie,Gintama: Yorinuki Gintama-san on Theater 2D,small,high, gintamayorinukigintamasanontheater2d action  comedy  historical  parody  samurai  sci-fi  shounen Movie small high ,63
64,jojonokimyounaboukenstardustcrusaders2ndseason,"['action', ' adventure', ' drama', ' shounen', ' supernatural']",TV,JoJo no Kimyou na Bouken: Stardust Crusaders 2nd Season,small,high, jojonokimyounaboukenstardustcrusaders2ndseason action  adventure  drama  shounen  supernatural TV small high ,64
65,gintamamovieshinyakubenizakurahen,"['action', ' comedy', ' historical', ' parody', ' samurai', ' sci-fi', ' shounen']",Movie,Gintama Movie: Shinyaku Benizakura-hen,tiny,high, gintamamovieshinyakubenizakurahen action  comedy  historical  parody  samurai  sci-fi  shounen Movie tiny high ,65
66,hellsingultimate,"['action', ' horror', ' military', ' seinen', ' supernatural', ' vampire']",OVA,Hellsing Ultimate,small,veryhigh, hellsingultimate action  horror  military  seinen  supernatural  vampire OVA small veryhigh ,66
67,kiseijuuseinokakuritsu,"['action', ' drama', ' horror', ' psychological', ' sci-fi', ' seinen']",TV,Kiseijuu: Sei no Kakuritsu,small,veryhigh, kiseijuuseinokakuritsu action  drama  horror  psychological  sci-fi  seinen TV small veryhigh ,67
68,shouwagenrokurakugoshinjuu,"['drama', ' historical', ' josei']",TV,Shouwa Genroku Rakugo Shinjuu,small,high, shouwagenrokurakugoshinjuu drama  historical  josei TV small high ,68
69,uchuukyoudai,"['comedy', ' sci-fi', ' seinen', ' slice of life', ' space']",TV,Uchuu Kyoudai,medium,high, uchuukyoudai comedy  sci-fi  seinen  slice of life  space TV medium high ,69
70,bakemononoko,"['adventure', ' supernatural']",Movie,Bakemono no Ko,tiny,high, bakemononoko adventure  supernatural Movie tiny high ,70
71,hotarunohaka,"['drama', ' historical']",Movie,Hotaru no Haka,tiny,veryhigh, hotarunohaka drama  historical Movie tiny veryhigh ,71
72,kurokonobasket2ndseason,"['comedy', ' school', ' shounen', ' sports']",TV,Kuroko no Basket 2nd Season,small,veryhigh, kurokonobasket2ndseason comedy  school  shounen  sports TV small veryhigh ,72
73,majors5,"['comedy', ' drama', ' romance', ' sports']",TV,Major S5,small,high, majors5 comedy  drama  romance  sports TV small high ,73
74,onepiece,"['action', ' adventure', ' comedy', ' drama', ' fantasy', ' shounen', ' super power']",TV,One Piece,superlarge,veryhigh, onepiece action  adventure  comedy  drama  fantasy  shounen  super power TV superlarge veryhigh ,74
75,ghostintheshellstandalonecomplex2ndgig,"['action', ' mecha', ' military', ' mystery', ' police', ' sci-fi', ' seinen']",TV,Ghost in the Shell: Stand Alone Complex 2nd GIG,small,veryhigh, ghostintheshellstandalonecomplex2ndgig action  mecha  military  mystery  police  sci-fi  seinen TV small veryhigh ,75
76,jojonokimyounaboukendiamondwakudakenai,"['action', ' adventure', ' comedy', ' drama', ' shounen', ' supernatural']",TV,JoJo no Kimyou na Bouken: Diamond wa Kudakenai,small,high, jojonokimyounaboukendiamondwakudakenai action  adventure  comedy  drama  shounen  supernatural TV small high ,76
77,karanokyoukai7satsujinkousatsukou,"['action', ' mystery', ' romance', ' supernatural', ' thriller']",Movie,Kara no Kyoukai 7: Satsujin Kousatsu (Kou),tiny,high, karanokyoukai7satsujinkousatsukou action  mystery  romance  supernatural  thriller Movie tiny high ,77
78,kingdom2ndseason,"['action', ' historical', ' military', ' seinen']",TV,Kingdom 2nd Season,small,high, kingdom2ndseason action  historical  military  seinen TV small high ,78
79,slamdunk,"['comedy', ' drama', ' school', ' shounen', ' sports']",TV,Slam Dunk,large,high, slamdunk comedy  drama  school  shounen  sports TV large high ,79
80,usagidrop,"['josei', ' slice of life']",TV,Usagi Drop,small,veryhigh, usagidrop josei  slice of life TV small veryhigh ,80
81,girlsundpanzerderfilm,"['military', ' school']",Movie,Girls und Panzer der Film,tiny,high, girlsundpanzerderfilm military  school Movie tiny high ,81
82,mobpsycho100,"['action', ' comedy', ' slice of life', ' supernatural']",TV,Mob Psycho 100,small,veryhigh, mobpsycho100 action  comedy  slice of life  supernatural TV small veryhigh ,82
83,nana,"['comedy', ' drama', ' music', ' romance', ' shoujo', ' slice of life']",TV,Nana,small,veryhigh, nana comedy  drama  music  romance  shoujo  slice of life TV small veryhigh ,83
84,baccano,"['action', ' comedy', ' historical', ' mystery', ' seinen', ' supernatural']",TV,Baccano ,small,veryhigh, baccano action  comedy  historical  mystery  seinen  supernatural TV small veryhigh ,84
85,mushishizokushouodoronomichi,"['adventure', ' fantasy', ' historical', ' mystery', ' seinen', ' slice of life', ' supernatural']",Special,Mushishi Zoku Shou: Odoro no Michi,tiny,high, mushishizokushouodoronomichi adventure  fantasy  historical  mystery  seinen  slice of life  supernatural Special tiny high ,85
86,shingekinokyojin,"['action', ' drama', ' fantasy', ' shounen', ' super power']",TV,Shingeki no Kyojin,small,veryhigh, shingekinokyojin action  drama  fantasy  shounen  super power TV small veryhigh ,86
87,bakuman2ndseason,"['comedy', ' drama', ' romance', ' shounen']",TV,Bakuman  2nd Season,small,veryhigh, bakuman2ndseason comedy  drama  romance  shounen TV small veryhigh ,87
88,crossgame,"['comedy', ' drama', ' romance', ' school', ' sports']",TV,Cross Game,small,high, crossgame comedy  drama  romance  school  sports TV small high ,88
89,doukyuuseimovie,"['romance', ' school', ' shounen ai', ' slice of life']",Movie,Doukyuusei (Movie),tiny,high, doukyuuseimovie romance  school  shounen ai  slice of life Movie tiny high ,89
90,evangelion20youcannotadvance,"['action', ' mecha', ' sci-fi']",Movie,Evangelion: 2 0 You Can (Not) Advance,tiny,veryhigh, evangelion20youcannotadvance action  mecha  sci-fi Movie tiny veryhigh ,90
91,shinsekaiyori,"['drama', ' horror', ' mystery', ' sci-fi', ' supernatural']",TV,Shinsekai yori,small,veryhigh, shinsekaiyori drama  horror  mystery  sci-fi  supernatural TV small veryhigh ,91
92,uchuusenkanyamato2199,"['action', ' drama', ' military', ' sci-fi', ' space']",OVA,Uchuu Senkan Yamato 2199,small,high, uchuusenkanyamato2199 action  drama  military  sci-fi  space OVA small high ,92
93,chihayafuru2,"['drama', ' game', ' josei', ' slice of life', ' sports']",TV,Chihayafuru 2,small,high, chihayafuru2 drama  game  josei  slice of life  sports TV small high ,93
94,fatezero,"['action', ' fantasy', ' supernatural']",TV,Fate/Zero,small,veryhigh, fatezero action  fantasy  supernatural TV small veryhigh ,94
95,jojonokimyounaboukentv,"['action', ' adventure', ' shounen', ' supernatural', ' vampire']",TV,JoJo no Kimyou na Bouken (TV),small,veryhigh, jojonokimyounaboukentv action  adventure  shounen  supernatural  vampire TV small veryhigh ,95
96,mahoushoujomadokamagica,"['drama', ' magic', ' psychological', ' thriller']",TV,Mahou Shoujo Madoka★Magica,small,veryhigh, mahoushoujomadokamagica drama  magic  psychological  thriller TV small veryhigh ,96
97,nichijou,"['comedy', ' school', ' slice of life']",TV,Nichijou,small,veryhigh, nichijou comedy  school  slice of life TV small veryhigh ,97
98,psychopass,"['action', ' police', ' psychological', ' sci-fi']",TV,Psycho-Pass,small,veryhigh, psychopass action  police  psychological  sci-fi TV small veryhigh ,98
99,barakamon,"['comedy', ' slice of life']",TV,Barakamon,small,veryhigh, barakamon comedy  slice of life TV small veryhigh ,99
100,diamondnoacesecondseason,"['comedy', ' school', ' shounen', ' sports']",TV,Diamond no Ace: Second Season,medium,high, diamondnoacesecondseason comedy  school  shounen  sports TV medium high ,100
101,magithekingdomofmagic,"['action', ' adventure', ' fantasy', ' magic', ' shounen']",TV,Magi: The Kingdom of Magic,small,veryhigh, magithekingdomofmagic action  adventure  fantasy  magic  shounen TV small veryhigh ,101
102,mahoushoujomadokamagicamovie3hangyakunomonogatari,"['drama', ' magic', ' psychological', ' thriller']",Movie,Mahou Shoujo Madoka★Magica Movie 3: Hangyaku no Monogatari,tiny,veryhigh, mahoushoujomadokamagicamovie3hangyakunomonogatari drama  magic  psychological  thriller Movie tiny veryhigh ,102
103,majorworldseries,"['comedy', ' drama', ' sports']",OVA,Major: World Series,small,high, majorworldseries comedy  drama  sports OVA small high ,103
104,samuraichamploo,"['action', ' adventure', ' comedy', ' historical', ' samurai', ' shounen']",TV,Samurai Champloo,small,veryhigh, samuraichamploo action  adventure  comedy  historical  samurai  shounen TV small veryhigh ,104
105,shokugekinosoumaninosara,"['ecchi', ' school', ' shounen']",TV,Shokugeki no Souma: Ni no Sara,small,veryhigh, shokugekinosoumaninosara ecchi  school  shounen TV small veryhigh ,105
106,katanagatari,"['action', ' adventure', ' historical', ' martial arts', ' romance']",TV,Katanagatari,small,veryhigh, katanagatari action  adventure  historical  martial arts  romance TV small veryhigh ,106
107,mahoushoujomadokamagicamovie2eiennomonogatari,"['drama', ' magic', ' psychological', ' thriller']",Movie,Mahou Shoujo Madoka★Magica Movie 2: Eien no Monogatari,tiny,high, mahoushoujomadokamagicamovie2eiennomonogatari drama  magic  psychological  thriller Movie tiny high ,107
108,majors6,"['comedy', ' drama', ' sports']",TV,Major S6,small,high, majors6 comedy  drama  sports TV small high ,108
109,mononoke,"['demons', ' fantasy', ' historical', ' horror', ' mystery', ' seinen', ' supernatural']",TV,Mononoke,small,high, mononoke demons  fantasy  historical  horror  mystery  seinen  supernatural TV small high ,109
110,shirobako,"['comedy', ' drama']",TV,Shirobako,small,veryhigh, shirobako comedy  drama TV small veryhigh ,110
111,ashitanojoe2,"['drama', ' sports']",TV,Ashita no Joe 2,small,moderate, ashitanojoe2 drama  sports TV small moderate ,111
112,hunterxhunter,"['action', ' adventure', ' shounen', ' super power']",TV,Hunter x Hunter,medium,veryhigh, hunterxhunter action  adventure  shounen  super power TV medium veryhigh ,112
113,noragamiaragoto,"['action', ' adventure', ' shounen', ' supernatural']",TV,Noragami Aragoto,small,veryhigh, noragamiaragoto action  adventure  shounen  supernatural TV small veryhigh ,113
114,sakamichinoapollon,"['drama', ' josei', ' music', ' romance', ' school']",TV,Sakamichi no Apollon,small,veryhigh, sakamichinoapollon drama  josei  music  romance  school TV small veryhigh ,114
115,tonarinototoro,"['adventure', ' comedy', ' supernatural']",Movie,Tonari no Totoro,tiny,veryhigh, tonarinototoro adventure  comedy  supernatural Movie tiny veryhigh ,115
116,ghostintheshellstandalonecomplex,"['action', ' mecha', ' military', ' police', ' sci-fi', ' seinen']",TV,Ghost in the Shell: Stand Alone Complex,small,veryhigh, ghostintheshellstandalonecomplex action  mecha  military  police  sci-fi  seinen TV small veryhigh ,116
117,kazenotaninonausica,"['adventure', ' fantasy']",Movie,Kaze no Tani no Nausicaä,tiny,veryhigh, kazenotaninonausica adventure  fantasy Movie tiny veryhigh ,117
118,nogamenolife,"['adventure', ' comedy', ' ecchi', ' fantasy', ' game', ' supernatural']",TV,No Game No Life,small,veryhigh, nogamenolife adventure  comedy  ecchi  fantasy  game  supernatural TV small veryhigh ,118
119,romeonoaoisora,"['adventure', ' drama', ' historical', ' slice of life']",TV,Romeo no Aoi Sora,small,high, romeonoaoisora adventure  drama  historical  slice of life TV small high ,119
120,yuuyuuhakusho,"['action', ' comedy', ' demons', ' fantasy', ' martial arts', ' school', ' shounen']",TV,Yuu☆Yuu☆Hakusho,large,veryhigh, yuuyuuhakusho action  comedy  demons  fantasy  martial arts  school  shounen TV large veryhigh ,120
121,kinonotabithebeautifulworld,"['action', ' adventure', ' slice of life']",TV,Kino no Tabi: The Beautiful World,small,veryhigh, kinonotabithebeautifulworld action  adventure  slice of life TV small veryhigh ,121
122,kurokonobasket,"['comedy', ' school', ' shounen', ' sports']",TV,Kuroko no Basket,small,veryhigh, kurokonobasket comedy  school  shounen  sports TV small veryhigh ,122
123,nodamecantabile,"['comedy', ' drama', ' josei', ' music', ' romance', ' slice of life']",TV,Nodame Cantabile,small,veryhigh, nodamecantabile comedy  drama  josei  music  romance  slice of life TV small veryhigh ,123
124,ookamitokoushinryouii,"['adventure', ' fantasy', ' historical', ' romance']",TV,Ookami to Koushinryou II,small,veryhigh, ookamitokoushinryouii adventure  fantasy  historical  romance TV small veryhigh ,124
125,shingekinokyojinkuinakisentaku,"['action', ' fantasy', ' shoujo', ' supernatural']",OVA,Shingeki no Kyojin: Kuinaki Sentaku,small,high, shingekinokyojinkuinakisentaku action  fantasy  shoujo  supernatural OVA small high ,125
126,steinsgateoukoubakkonoporiomania,"['sci-fi', ' thriller']",Special,Steins Gate: Oukoubakko no Poriomania,tiny,veryhigh, steinsgateoukoubakkonoporiomania sci-fi  thriller Special tiny veryhigh ,126
127,fatestaynightunlimitedbladeworks2ndseason,"['action', ' fantasy', ' magic', ' shounen', ' supernatural']",TV,Fate/stay night: Unlimited Blade Works 2nd Season,small,veryhigh, fatestaynightunlimitedbladeworks2ndseason action  fantasy  magic  shounen  supernatural TV small veryhigh ,127
128,kemononosoujaerin,"['drama', ' fantasy']",TV,Kemono no Souja Erin,small,high, kemononosoujaerin drama  fantasy TV small high ,128
129,kizumonogatariitekketsuhen,"['mystery', ' supernatural', ' vampire']",Movie,Kizumonogatari I: Tekketsu-hen,tiny,high, kizumonogatariitekketsuhen mystery  supernatural  vampire Movie tiny high ,129
130,neongenesisevangeliontheendofevangelion,"['dementia', ' drama', ' mecha', ' psychological', ' sci-fi']",Movie,Neon Genesis Evangelion: The End of Evangelion,tiny,veryhigh, neongenesisevangeliontheendofevangelion dementia  drama  mecha  psychological  sci-fi Movie tiny veryhigh ,130
131,toradora,"['comedy', ' romance', ' school', ' slice of life']",TV,Toradora ,small,veryhigh, toradora comedy  romance  school  slice of life TV small veryhigh ,131
132,tokiwokakerushoujo,"['adventure', ' drama', ' romance', ' sci-fi']",Movie,Toki wo Kakeru Shoujo,tiny,veryhigh, tokiwokakerushoujo adventure  drama  romance  sci-fi Movie tiny veryhigh ,132
133,tsubasatokyorevelations,"['action', ' adventure', ' drama', ' fantasy', ' romance', ' shounen']",OVA,Tsubasa: Tokyo Revelations,small,high, tsubasatokyorevelations action  adventure  drama  fantasy  romance  shounen OVA small high ,133
